Student ID,Name,Age,Gender,10th Grade %,12th Grade %,School Board,Stream in 12th,Favorite Subject,Favorite Subject Marks,Top Scored Subject,Top Subject Marks,Hobby,Problem Solving Skill,Communication Skill,Leadership Skill,Creative Thinking,Analytical Ability,Social Behavior,Preferred Career Paths,Long Term Goal,Recommended Career,Alternative Career Options
STU0026,Amanda Nelson,18,Male,66.49,89.39,CBSE,Science PCB,Biology,87.38,Chemistry,91.14,Writing,Good,Good,Excellent,Excellent,Good,Extrovert,Homeopath/Ayurvedic Practitioner,Private Job,Homeopath/Ayurvedic Practitioner,"Forensic Scientist, Stock Broker"
STU0027,Sherry Johnson,20,Male,94.84,94.8,ICSE,Science PCB,Biology,88.58,Chemistry,98.53,Social Work,Excellent,Excellent,Good,Excellent,Average,Introvert,Doctor,Higher Studies,Doctor,"Stock Broker, Tourism & Hospitality Professional (Travel Agent, Event Planner)"
STU0028,Amber Cooper,23,Female,68.36,75.24,ICSE,Commerce,Economics,90.98,Economics,73.64,Reading Success Stories,Excellent,Average,Excellent,Excellent,Poor,Extrovert,Entrepreneur/Business Owner,Own Business,Entrepreneur/Business Owner,"Biotechnologist, Electrical Engineering"
STU0029,Ryan Andrews,20,Female,80.71,92.53,CBSE,Science PCM,Physics,99.67,Physics,79.39,Watching Documentaries,Excellent,Average,Good,Good,Excellent,Ambivert,Aerospace/Aeronautical Engineering,Higher Studies,Aerospace/Aeronautical Engineering,"Electrical Engineering, Bank Manager/Officer"
STU0030,Christine Lopez,24,Male,75.28,75.31,State Board,Arts,Political Science,97.28,Political Science,99.52,Writing Essays,Good,Excellent,Excellent,Average,Good,Extrovert,"Civil Services Officer (IAS, IPS, IFS)",Government Job,"Civil Services Officer (IAS, IPS, IFS)","Psychologist/Counselor, Nurse"
STU0031,Susan Sanchez,24,Other,78.51,89.0,CBSE,Arts,History,76.99,History,86.39,Reading Novels,Good,Excellent,Excellent,Poor,Poor,Extrovert,"Civil Services Officer (IAS, IPS, IFS)",Government Job,"Civil Services Officer (IAS, IPS, IFS)","Pharmacist, Insurance Advisor"
STU0032,Sheryl Rubio,18,Male,80.38,87.72,State Board,Science PCM,Biology,89.37,Physics,72.93,Sketching,Excellent,Good,Poor,Good,Excellent,Introvert,Biomedical Engineering,Higher Studies,Biomedical Engineering,"Aerospace/Aeronautical Engineering, Electrical Engineering"
STU0033,John Boyd,24,Male,84.93,80.81,State Board,Arts,History,90.13,Psychology,73.12,Reading Psychology Books,Good,Excellent,Good,Excellent,Good,Ambivert,Psychologist/Counselor,Private Job,Psychologist/Counselor,"Civil Engineering, Robotics Engineering"
STU0034,Michelle Robinson,25,Male,69.95,73.55,State Board,Arts,English Literature,74.07,History,74.88,Reading Novels,Poor,Excellent,Good,Excellent,Good,Ambivert,Content Writer/Editor,Private Job,Content Writer/Editor,"Dentist, Investment Banker"
STU0035,Tiffany Buck,22,Female,84.12,71.27,ICSE,Arts,Psychology,94.84,Psychology,90.98,Writing Journals,Good,Excellent,Poor,Good,Average,Extrovert,Psychologist/Counselor,Private Job,Psychologist/Counselor,"Teacher (Biology/Science), Mechanical Engineering"
STU0036,Kaitlyn Wilson,25,Female,73.67,75.56,ICSE,Arts,Political Science,76.81,History,70.38,Writing Essays,Good,Excellent,Average,Excellent,Excellent,Extrovert,"Lawyer (Corporate, Criminal, Civil Law)",Private Job,"Lawyer (Corporate, Criminal, Civil Law)","Electrical Engineering, Electronics & Communication Engineering"
STU0037,Patricia Riley,22,Male,81.35,79.06,State Board,Science PCM,Physics,79.53,Mathematics,91.18,Sketching,Excellent,Average,Good,Good,Excellent,Introvert,Mechanical Engineering,Higher Studies,Mechanical Engineering,"Electrical Engineering, Doctor"
STU0038,Lauren Sullivan,24,Other,83.43,72.86,State Board,Arts,Geography,89.08,History,71.72,Mentoring Younger Students,Good,Excellent,Good,Poor,Poor,Extrovert,Teacher/Professor (School or College level),Government Job,Teacher/Professor (School or College level),"Content Writer/Editor, Teacher (Commerce/Economics)"
STU0039,Paula Zimmerman,22,Other,86.4,92.61,ICSE,Science PCB,Chemistry,91.37,Biology,85.11,Reading,Good,Average,Good,Good,Excellent,Extrovert,Pharmacist,Private Job,Pharmacist,"Biomedical Engineering, Environmental Scientist"
STU0040,Emily Beasley,25,Female,87.21,85.58,ICSE,Science PCM,Mathematics,89.64,Physics,80.31,Reading Adventure Books,Excellent,Average,Excellent,Good,Excellent,Introvert,Pilot Training (Commercial Pilot License – CPL),Government Job,Pilot Training (Commercial Pilot License – CPL),"Indian Army, Navy, Air Force (NDA, CDS, AFCAT), Electronics & Communication Engineering"
STU0041,Elizabeth Nielsen,24,Other,70.3,73.14,CBSE,Science PCB,Biology,87.93,Physics,89.43,Reading,Excellent,Good,Good,Average,Good,Extrovert,Physiotherapist,Private Job,Physiotherapist,"Forensic Scientist, Food Technologist"
STU0042,Hector Vang,22,Female,82.45,82.9,State Board,Science PCB,Chemistry,84.44,Chemistry,80.26,Social Work,Good,Excellent,Good,Average,Average,Ambivert,Dietitian/Nutritionist,Private Job,Dietitian/Nutritionist,"Insurance Advisor, Entrepreneur/Business Owner"
STU0043,Kathy Harris,25,Other,70.47,89.93,ICSE,Arts,Physics,95.79,Economics,95.72,Playing Sports,Average,Average,Excellent,Average,Good,Extrovert,Insurance Advisor,Government Job,Insurance Advisor,"Mechanical Engineering, Economist"
STU0044,Joseph Wiley MD,24,Other,83.71,90.5,State Board,Commerce,Mathematics,91.33,Mathematics,79.23,Stock Simulations,Excellent,Excellent,Average,Excellent,Excellent,Ambivert,Investment Banker,Private Job,Investment Banker,"Lawyer (Corporate, Criminal, Civil Law), Nurse"
STU0045,Sara Webb,25,Other,87.83,89.34,State Board,Science PCB,Biology,88.12,Biology,72.2,Social Work,Excellent,Excellent,Good,Poor,Average,Introvert,Doctor,Higher Studies,Doctor,"Biomedical Engineering, Teacher (Commerce/Economics)"
STU0046,Patrick Henson,19,Other,81.33,90.48,CBSE,Arts,Political Science,99.12,History,74.15,Writing Essays,Good,Excellent,Excellent,Excellent,Average,Extrovert,"Civil Services Officer (IAS, IPS, IFS)",Government Job,"Civil Services Officer (IAS, IPS, IFS)","Dietitian/Nutritionist, Mechanical Engineering"
STU0047,Mr. Thomas Hughes Jr.,18,Male,90.77,75.6,State Board,Science PCB,Biology,77.17,Biology,72.18,Reading,Excellent,Good,Good,Good,Good,Introvert,Veterinarian,Private Job,Veterinarian,"Doctor, Financial Analyst"
STU0048,Hannah Miller,20,Male,70.54,70.7,State Board,Arts,History,71.2,History,96.69,Writing Essays,Good,Excellent,Excellent,Good,Excellent,Extrovert,"Lawyer (Corporate, Criminal, Civil Law)",Private Job,"Lawyer (Corporate, Criminal, Civil Law)","Stock Broker, Mechanical Engineering"
STU0049,Bridget Russell,19,Other,67.89,76.02,ICSE,Arts,History,72.26,History,82.15,Sketching Diagrams,Good,Excellent,Good,Good,Good,Introvert,Teacher/Professor (School or College level),Government Job,Teacher/Professor (School or College level),"Bank Manager/Officer, Stock Broker"
STU0050,Stephen Barnett,18,Other,68.72,73.65,ICSE,Arts,English Literature,97.42,English Literature,93.59,Writing Short Stories,Average,Excellent,Poor,Excellent,Average,Introvert,Content Writer/Editor,Private Job,Content Writer/Editor,"Tourism & Hospitality Professional (Travel Agent, Event Planner), Doctor"
STU0051,Lisa Vance,25,Female,83.86,84.99,ICSE,Science PCM,Mathematics,87.67,Chemistry,83.87,Sketching,Excellent,Excellent,Good,Good,Excellent,Ambivert,Civil Engineering,Higher Studies,Civil Engineering,"Chartered Accountant (CA), Indian Army, Navy, Air Force (NDA, CDS, AFCAT)"
STU0052,Kimberly Sparks,23,Male,71.44,85.6,State Board,Science PCB,Chemistry,71.98,Biology,85.49,Reading,Excellent,Good,Average,Good,Excellent,Ambivert,Environmental Scientist,Higher Studies,Environmental Scientist,"Physiotherapist, Pharmacist"
STU0053,Sara Brown,24,Other,83.62,93.49,CBSE,Science PCB,Chemistry,85.18,Biology,81.94,DIY Projects,Excellent,Poor,Excellent,Good,Excellent,Introvert,Biotechnologist,Higher Studies,Biotechnologist,"Forensic Scientist, Cost and Management Accountant (CMA)"
STU0054,Karen Gonzales,24,Other,66.7,66.69,CBSE,Arts,Political Science,98.8,Political Science,92.21,Organizing Events,Good,Excellent,Excellent,Excellent,Poor,Ambivert,Public Relations Officer,Private Job,Public Relations Officer,"Dietitian/Nutritionist, Journalist/Reporter"
STU0055,Jennifer Jones,23,Male,84.56,80.04,State Board,Science PCB,Chemistry,85.51,Biology,91.41,Reading,Good,Excellent,Good,Poor,Poor,Introvert,Dietitian/Nutritionist,Private Job,Dietitian/Nutritionist,"Teacher (Biology/Science), Bank Manager/Officer"
STU0056,Amy Schneider,22,Other,65.29,72.71,CBSE,Commerce,Accountancy,94.19,Accountancy,81.86,Playing Strategy Games,Good,Excellent,Good,Excellent,Excellent,Introvert,Bank Manager/Officer,Government Job,Bank Manager/Officer,"Teacher/Professor (School or College level), Indian Army, Navy, Air Force (NDA, CDS, AFCAT)"
STU0057,Kristina Pope,18,Other,76.88,79.14,CBSE,Arts,History,79.49,Political Science,81.79,Networking,Good,Excellent,Poor,Excellent,Good,Introvert,Public Relations Officer,Private Job,Public Relations Officer,"Doctor, Dentist"
STU0058,Cesar Larson,18,Female,82.58,89.24,ICSE,Science PCM,Physics,98.65,Physics,94.79,Reading,Excellent,Poor,Average,Good,Excellent,Introvert,"B.Sc. in Physics, Chemistry, Mathematics",Higher Studies,"B.Sc. in Physics, Chemistry, Mathematics","Robotics Engineering, Bank Manager/Officer"
STU0059,Michael Ingram,21,Female,61.09,79.18,State Board,Arts,History,90.17,Geography,87.43,Reading Travel Blogs,Good,Excellent,Good,Good,Average,Introvert,"Tourism & Hospitality Professional (Travel Agent, Event Planner)",Private Job,"Tourism & Hospitality Professional (Travel Agent, Event Planner)","Pilot Training (Commercial Pilot License – CPL), Content Writer/Editor"
STU0060,Cynthia Cole,19,Female,78.66,65.81,CBSE,Science PCB,Chemistry,70.25,Biology,97.9,Writing,Good,Good,Good,Poor,Average,Ambivert,Homeopath/Ayurvedic Practitioner,Private Job,Homeopath/Ayurvedic Practitioner,"Veterinarian, Robotics Engineering"
STU0061,Megan Adkins,21,Other,75.36,72.09,ICSE,Arts,History,89.07,English Literature,73.28,Editing Essays,Poor,Excellent,Poor,Excellent,Poor,Extrovert,Content Writer/Editor,Private Job,Content Writer/Editor,"Entrepreneur/Business Owner, Physiotherapist"
STU0062,Melissa Larson,24,Female,75.46,94.92,State Board,Science PCB,Chemistry,88.11,Chemistry,85.1,Reading,Good,Good,Excellent,Poor,Excellent,Extrovert,Pharmacist,Private Job,Pharmacist,"Financial Analyst, Social Worker/NGO Manager"
STU0063,Diane Decker,25,Other,76.51,74.89,State Board,Science PCB,Chemistry,97.87,Biology,74.26,Traveling,Excellent,Poor,Average,Good,Excellent,Ambivert,Environmental Scientist,Higher Studies,Environmental Scientist,"Electronics & Communication Engineering, Tax Consultant"
STU0064,Ricky Parsons,23,Male,69.92,67.69,State Board,Arts,History,85.73,Political Science,95.37,Reading Social Issues,Good,Excellent,Poor,Excellent,Average,Extrovert,Social Worker/NGO Manager,Social Impact,Social Worker/NGO Manager,"Civil Services Officer (IAS, IPS, IFS), Biotechnologist"
STU0065,Michael Lucas,25,Other,74.94,83.53,ICSE,Commerce,Economics,95.71,Business Studies,73.96,Sketching Diagrams,Good,Excellent,Good,Average,Average,Extrovert,Teacher (Commerce/Economics),Government Job,Teacher (Commerce/Economics),"Dentist, Bachelor of Architecture (B.Arch)"
STU0066,Amber Hernandez,23,Other,76.93,95.2,ICSE,Science PCM,Physics,93.82,Mathematics,83.47,Reading,Excellent,Average,Excellent,Good,Excellent,Ambivert,"B.Sc. in Physics, Chemistry, Mathematics",Higher Studies,"B.Sc. in Physics, Chemistry, Mathematics","Homeopath/Ayurvedic Practitioner, Social Worker/NGO Manager"
STU0067,Jeffrey Hogan,22,Other,85.11,83.37,State Board,Science PCB,Chemistry,87.14,Chemistry,73.77,Reading,Excellent,Excellent,Good,Good,Average,Introvert,Dentist,Private Job,Dentist,"Forensic Scientist, Robotics Engineering"
STU0068,Paula Carr,18,Male,77.12,77.02,State Board,Commerce,Economics,72.74,Business Studies,96.44,Reading Educational Books,Good,Excellent,Good,Average,Good,Introvert,Teacher (Commerce/Economics),Government Job,Teacher (Commerce/Economics),"Civil Engineering, Bachelor of Architecture (B.Arch)"
STU0069,Angela Montgomery,18,Male,66.69,70.99,CBSE,Commerce,Business Studies,87.41,Economics,95.85,Reading Success Stories,Excellent,Good,Excellent,Excellent,Poor,Extrovert,Entrepreneur/Business Owner,Own Business,Entrepreneur/Business Owner,"Biotechnologist, Forensic Scientist"
STU0070,Rebekah Ellis,21,Female,70.1,81.13,State Board,Science PCB,Biology,81.57,Biology,97.81,Reading,Good,Excellent,Average,Excellent,Average,Introvert,Nurse,Government Job,Nurse,"Dentist, Company Secretary (CS)"
STU0071,Andrea Gonzales,22,Other,86.33,70.3,CBSE,Science PCB,Chemistry,71.3,Chemistry,98.81,Reading,Good,Good,Good,Good,Excellent,Ambivert,Food Technologist,Private Job,Food Technologist,"Nurse, Journalist/Reporter"
STU0072,Virginia Mendoza,22,Male,81.88,83.22,State Board,Science PCB,Chemistry,79.48,Chemistry,91.27,DIY Projects,Excellent,Average,Excellent,Good,Excellent,Extrovert,Dentist,Private Job,Dentist,"Teacher (Biology/Science), Pharmacist"
STU0073,Michelle James,18,Male,89.39,71.66,ICSE,Science PCM,Mathematics,76.86,Mathematics,81.26,Reading Novels,Excellent,Excellent,Excellent,Excellent,Excellent,Ambivert,"Indian Army, Navy, Air Force (NDA, CDS, AFCAT)",Government Job,"Indian Army, Navy, Air Force (NDA, CDS, AFCAT)","Aerospace/Aeronautical Engineering, Teacher (Biology/Science)"
STU0074,Cody Williams,23,Female,89.22,86.96,CBSE,Science PCM,Physics,81.86,Mathematics,79.48,Reading,Excellent,Poor,Average,Good,Excellent,Ambivert,Aerospace/Aeronautical Engineering,Higher Studies,Aerospace/Aeronautical Engineering,"Journalist/Reporter, Tax Consultant"
STU0075,Heather Chapman,22,Male,77.48,87.75,ICSE,Science PCM,Physics,72.28,Mathematics,96.42,Playing Sports,Excellent,Excellent,Excellent,Poor,Excellent,Extrovert,"Indian Army, Navy, Air Force (NDA, CDS, AFCAT)",Government Job,"Indian Army, Navy, Air Force (NDA, CDS, AFCAT)","Stock Broker, Cost and Management Accountant (CMA)"
STU0076,Mark King,24,Female,78.58,79.28,ICSE,Commerce,Accountancy,98.83,Economics,89.67,Reading Tax Laws,Good,Poor,Poor,Good,Excellent,Introvert,Tax Consultant,Private Job,Tax Consultant,"Cost and Management Accountant (CMA), Civil Services Officer (IAS, IPS, IFS)"
STU0077,Jean Jones,22,Male,85.97,81.6,State Board,Commerce,Mathematics,81.03,Accountancy,98.82,Solving Puzzles,Excellent,Excellent,Good,Average,Excellent,Extrovert,Chartered Accountant (CA),Private Job,Chartered Accountant (CA),"Dentist, Public Relations Officer"
STU0078,Jason Bowman,21,Male,72.42,71.86,CBSE,Arts,Geography,96.6,History,71.22,Reading Travel Blogs,Good,Excellent,Average,Good,Average,Introvert,"Tourism & Hospitality Professional (Travel Agent, Event Planner)",Private Job,"Tourism & Hospitality Professional (Travel Agent, Event Planner)","Civil Services Officer (IAS, IPS, IFS), B.Sc. in Physics, Chemistry, Mathematics"
STU0079,Christopher Carlson,21,Male,66.51,70.14,State Board,Commerce,Economics,74.26,Economics,88.1,Budget Planning,Good,Excellent,Good,Poor,Good,Ambivert,Bank Manager/Officer,Government Job,Bank Manager/Officer,"Tax Consultant, Food Technologist"
STU0080,Sherri Gutierrez,19,Other,92.77,75.62,State Board,Science PCM,Physics,78.62,Biology,87.15,Tech Exploration,Excellent,Average,Good,Good,Excellent,Introvert,Biomedical Engineering,Higher Studies,Biomedical Engineering,"Insurance Advisor, Financial Analyst"
STU0081,Nancy Hickman,19,Male,73.36,81.52,ICSE,Arts,History,93.55,Political Science,90.06,Storytelling,Good,Excellent,Good,Excellent,Excellent,Extrovert,Public Relations Officer,Private Job,Public Relations Officer,"Teacher (Commerce/Economics), Nurse"
STU0082,Jonathan Gibson,20,Other,98.65,91.1,ICSE,Science PCB,Chemistry,89.1,Biology,95.82,Tech Exploration,Excellent,Poor,Average,Good,Excellent,Extrovert,Biotechnologist,Higher Studies,Biotechnologist,"B.Sc. in Physics, Chemistry, Mathematics, Dentist"
STU0083,Jessica Mccormick,18,Female,80.23,84.89,CBSE,Arts,Political Science,72.57,History,96.22,Writing Stories,Good,Excellent,Excellent,Excellent,Poor,Introvert,Journalist/Reporter,Private Job,Journalist/Reporter,"Nurse, Homeopath/Ayurvedic Practitioner"
STU0084,Lori Liu,18,Other,79.89,73.17,CBSE,Commerce,Accountancy,95.63,Business Studies,77.73,Writing,Good,Excellent,Average,Good,Good,Ambivert,Company Secretary (CS),Private Job,Company Secretary (CS),"Indian Army, Navy, Air Force (NDA, CDS, AFCAT), Mechanical Engineering"
STU0085,Brandon Oliver,25,Male,68.75,68.35,ICSE,Arts,History,91.85,Psychology,89.37,Writing Journals,Good,Excellent,Average,Poor,Poor,Extrovert,Psychologist/Counselor,Private Job,Psychologist/Counselor,"Physiotherapist, Pilot Training (Commercial Pilot License – CPL)"
STU0086,Whitney Mccoy,23,Male,90.27,94.09,ICSE,Science PCM,Biology,96.89,Physics,83.59,DIY Projects,Excellent,Good,Poor,Good,Excellent,Introvert,Biomedical Engineering,Higher Studies,Biomedical Engineering,"Mechanical Engineering, Pharmacist"
STU0087,James Wagner,23,Female,94.4,81.89,CBSE,Science PCM,Physics,73.31,Mathematics,77.88,Watching Documentaries,Excellent,Average,Good,Good,Excellent,Introvert,Aerospace/Aeronautical Engineering,Higher Studies,Aerospace/Aeronautical Engineering,"Pilot Training (Commercial Pilot License – CPL), Tourism & Hospitality Professional (Travel Agent, Event Planner)"
STU0088,Lawrence Juarez,21,Male,86.46,92.08,CBSE,Science PCB,Chemistry,72.06,Biology,98.86,Sketching,Excellent,Excellent,Poor,Good,Excellent,Ambivert,Dentist,Private Job,Dentist,"Forensic Scientist, Physiotherapist"
STU0089,Jimmy Solomon,22,Other,74.68,72.7,ICSE,Science PCB,Chemistry,78.44,Biology,76.54,Storytelling,Good,Excellent,Poor,Average,Good,Ambivert,Nurse,Government Job,Nurse,"Lawyer (Corporate, Criminal, Civil Law), Investment Banker"
STU0090,Olivia Graves,22,Male,73.45,81.77,ICSE,Arts,Political Science,75.77,Political Science,89.65,Photography,Good,Excellent,Poor,Excellent,Good,Ambivert,Journalist/Reporter,Private Job,Journalist/Reporter,"Indian Army, Navy, Air Force (NDA, CDS, AFCAT), Forensic Scientist"
STU0091,Adam Johnson,21,Other,80.55,89.92,ICSE,Science PCM,Mathematics,98.04,Mathematics,85.3,Building Models,Excellent,Poor,Average,Excellent,Excellent,Introvert,Bachelor of Architecture (B.Arch),Private Job,Bachelor of Architecture (B.Arch),"Psychologist/Counselor, Physiotherapist"
STU0092,Ryan Jones,25,Other,80.01,74.8,State Board,Science PCB,Biology,80.78,Chemistry,93.82,Storytelling,Good,Excellent,Average,Good,Good,Ambivert,Nurse,Government Job,Nurse,"Public Relations Officer, Biomedical Engineering"
STU0093,Jennifer Elliott,23,Female,96.9,93.82,ICSE,Science PCB,Chemistry,87.45,Biology,93.27,Writing,Excellent,Excellent,Good,Average,Poor,Introvert,Doctor,Higher Studies,Doctor,"Tax Consultant, Biotechnologist"
STU0094,Denise Gonzalez,19,Male,72.88,65.12,CBSE,Commerce,Economics,95.57,Business Studies,80.17,Mentoring Younger Students,Good,Excellent,Good,Good,Average,Extrovert,Teacher (Commerce/Economics),Government Job,Teacher (Commerce/Economics),"Psychologist/Counselor, Electrical Engineering"
STU0095,Ariel Fox,24,Other,88.12,79.03,ICSE,Arts,History,89.82,History,79.5,Writing Essays,Good,Excellent,Poor,Excellent,Excellent,Extrovert,"Lawyer (Corporate, Criminal, Civil Law)",Private Job,"Lawyer (Corporate, Criminal, Civil Law)","Robotics Engineering, Forensic Scientist"
